language,average_stars
Cuda,28154.0
Lua,11892.0
Rich Text Format,9215.0
TypeScript,8868.095238095239
C,7058.828571428571
SCSS,4263.5
Python,3175.285714285714
Jupyter Notebook,2492.0
CoffeeScript,2437.1428571428573
TeX,2432.0
Java,1616.590909090909
MDX,1365.0
Vue,1343.3333333333333
OpenSCAD,802.0
Unknown,495.4622356495468
PLpgSQL,442.0
Smarty,423.0
JavaScript,419.25671641791047
Kotlin,303.3333333333333
HTML,266.9259259259259
Ruby,264.5970149253731
Go,261.8076923076923
Emacs Lisp,260.3333333333333
CSS,161.3
Erlang,143.4
Shell,122.05263157894737
C++,121.0625
C#,102.27272727272727
Perl,75.0
HCL,65.0
R,58.875
Groovy,54.0
Dockerfile,52.0
Rust,42.0
Tcl,40.5
Lean,40.0
ASP,35.0
PHP,34.625
MATLAB,33.0
Elixir,27.25
Bicep,27.0
Objective-C,22.0
Assembly,21.5
Verilog,11.0
Blade,10.0
Scheme,9.0
Astro,3.0
XSLT,3.0
Standard ML,3.0
Pascal,2.0
GCC Machine Description,1.0
Makefile,1.0
Swift,0.5
