language,count
JavaScript,335
Unknown,331
Ruby,67
Python,56
HTML,54
Go,52
CSS,50
PHP,48
TypeScript,42
C,35
C#,33
Java,22
Shell,19
C++,16
Rust,12
Kotlin,9
Jupyter Notebook,9
R,8
Elixir,8
Objective-C,8
CoffeeScript,7
Vue,6
Erlang,5
Emacs Lisp,3
SCSS,2
Swift,2
OpenSCAD,2
Assembly,2
HCL,2
Tcl,2
Verilog,1
MDX,1
Lean,1
Blade,1
Rich Text Format,1
Dockerfile,1
Smarty,1
Perl,1
Scheme,1
TeX,1
PLpgSQL,1
Groovy,1
Standard ML,1
Astro,1
XSLT,1
Lua,1
Cuda,1
ASP,1
Makefile,1
MATLAB,1
Pascal,1
GCC Machine Description,1
Bicep,1
