user,count
adamwathan,30
addyosmani,30
AndrewNg,20
antirez,30
bradfitz,30
BrendanEich,13
codepo8,30
defunkt,30
dhh,4
douglascrockford,19
EvanLi,24
fabpot,30
gaearon,30
ggreer,30
hadley,30
JakeWharton,30
jashkenas,23
jlord,30
johnpapa,30
josevalim,30
kamranahmedse,30
karpathy,30
kennethreitz,30
LeaVerou,30
mbostock,30
mdo,30
mitchellh,30
mitsuhiko,30
mojombo,30
nzakas,30
paulirish,30
rauchg,30
ry,30
sanjay,2
SaraSoueidan,3
sdras,30
shanselman,30
SimonCropp,30
sindresorhus,30
squidfunk,18
taylorotwell,30
torvalds,9
trungdq88,30
visionmedia,25
wesbos,30
wycats,30
yyx990803,30
zenorocha,30
